Description,Price,Rating,Url
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display","₹11,499",4.3 out of 5 stars,https://www.amazon.com/Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_17?dchild=1&keywords=smartphone&qid=1627236452&sr=8-17
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","₹8,999",4.2 out of 5 stars,https://www.amazon.com/Redmi-Carbon-Black-64GB-Storage/dp/B086985T6R/ref=sr_1_18?dchild=1&keywords=smartphone&qid=1627236452&sr=8-18
Redmi 9A (Midnight Black 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"₹6,999",4.2 out of 5 stars,https://www.amazon.com/Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=sr_1_19?dchild=1&keywords=smartphone&qid=1627236452&sr=8-19
"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","₹8,999",4.2 out of 5 stars,https://www.amazon.com/Redmi-Sporty-Orange-64GB-Storage/dp/B08696W3B3/ref=sr_1_20?dchild=1&keywords=smartphone&qid=1627236452&sr=8-20
"iQOO Z3 5G (Ace Black, 6GB RAM, 128GB Storage) | India's First SD 768G 5G Processor | 55W FlashCharge | Upto 9 Months No Cost EMI | Extra 1500 Off on Coupon","₹19,990",4.3 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A064025720N9PP1AORCXN&url=%2FStorage-Processor-FlashCharge-Rs-2000-Exchange%2Fdp%2FB07WHR5RKH%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1627236452%26sr%3D8-21-spons%26psc%3D1&qualifier=1627236452&id=4686090801270150&widgetName=sp_btf
"Oppo F19 (Prism Black, 6GB RAM, 128GB Storage) - 6.43"" Inch AMOLED Punch-Hole Display | in-Display Fingerprint 3.0 | 5000 mAh Battery | 33W Flash Charging","₹18,990",4.1 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05277142SZ6QJ83IVD9S&url=%2FOppo-Prism-Black-Storage-Display%2Fdp%2FB08V9ZKN9J%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1627236452%26sr%3D8-22-spons%26psc%3D1&qualifier=1627236452&id=4686090801270150&widgetName=sp_btf
"Mi 11X Pro 5G (Lunar White, 8GB RAM, 128GB Storage) | Snapdragon 888 | 108MP Camera | Additional 3000 Off on Exchange | 6 Month Free Screen Replacement (Prime only)","₹39,999",3.9 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01802812ELFOGVBC3JFR&url=%2FMi11XPro-Lunar-White-128GB-Storage%2Fdp%2FB085J1KCGP%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1627236459%26sr%3D8-1-spons%26psc%3D1&qualifier=1627236459&id=6426516574708302&widgetName=sp_atf
"Tecno Spark 7 (Magnet Black, 3GB RAM, 64 GB Storage) - 6000mAh Battery|16 MP Dual Camera| 6.52” Dot Notch Display","₹8,499",3.9 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05309113FOJLQTYHRDFO&url=%2FTecno-Spark-Magnet-Black-Storage%2Fdp%2FB091FHC2WT%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsmartphone%26qid%3D1627236459%26sr%3D8-2-spons%26psc%3D1&qualifier=1627236459&id=6426516574708302&widgetName=sp_atf
"Samsung Galaxy M31 (Ocean Blue, 8GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","₹16,999",4.3 out of 5 stars,https://www.amazon.com/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HG8S7KP/ref=sr_1_3?dchild=1&keywords=smartphone&qid=1627236459&sr=8-3
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","₹14,999",4.3 out of 5 stars,https://www.amazon.com/Samsung-Galaxy-Ocean-128GB-Storage/dp/B07HGGYWL6/ref=sr_1_4?dchild=1&keywords=smartphone&qid=1627236459&sr=8-4
"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","₹6,999",4.2 out of 5 stars,https://www.amazon.com/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_5?dchild=1&keywords=smartphone&qid=1627236459&sr=8-5
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor","₹8,999",4.2 out of 5 stars,https://www.amazon.com/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_6?dchild=1&keywords=smartphone&qid=1627236459&sr=8-6
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,999",4.1 out of 5 stars,https://www.amazon.com/Samsung-Galaxy-M12-Storage-Processor/dp/B08XGDN3TZ/ref=sr_1_7?dchild=1&keywords=smartphone&qid=1627236459&sr=8-7
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹12,490",4.2 out of 5 stars,https://www.amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_8?dchild=1&keywords=smartphone&qid=1627236459&sr=8-8
"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹6,999",4.1 out of 5 stars,https://www.amazon.com/realme-Storage-Additional-Exchange-Offers/dp/B096RWS54N/ref=sr_1_9?dchild=1&keywords=smartphone&qid=1627236459&sr=8-9
